smiles,pIC50
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,5.920818753952375
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,5.920818753952375
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,5.920818753952375
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,4.638272163982407
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,4.638272163982407
O=C(O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.096910013008056
O=C(O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,3.899629454882437
O=C(O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.346787486224656
Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1nccc(-c2cccnc2)n1,6.698970004336019
CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,5.236572006437063
CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,3.3010299956639813
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(F)cc1,6.698970004336019
O=[N+]([O-])c1cccc(Nc2nccc(-c3ccncc3)n2)c1,4.214670164989233
O=[N+]([O-])c1cccc(Nc2nccc(-c3ccncc3)n2)c1,5.585026652029182
NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,6.3979400086720375
NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.008773924307505
Nc1cccc(Nc2nccc(-c3ccncc3)n2)c1,6.221848749616356
Nc1cccc(Nc2nccc(-c3ccncc3)n2)c1,4.795880017344075
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,6.698970004336019
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.431798275933005
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.698970004336019
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.721246399047171
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,6.0
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,5.309803919971486
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,5.823908740944319
